WKT,ogc_fid,nombre,localidad
"MULTIPOLYGON (((-71.3458779448173 -40.1516157452448,-71.344889674202 -40.1520570959268,-71.3443146386839 -40.1524028980351,-71.3441707685996 -40.1526237377631,-71.342615045159 -40.1552848733657,-71.3414236314004 -40.156979745947,-71.3417144801506 -40.1577293358553,-71.3428393476057 -40.1579535510765,-71.3434628214332 -40.1584639483015,-71.3443263580685 -40.1593472163948,-71.3455045994297 -40.1600207029128,-71.3491961604675 -40.1638394188183,-71.3519587100714 -40.1648729301808,-71.3555865030215 -40.1646393297526,-71.3566197572292 -40.164400367879,-71.3566333301307 -40.1631506558634,-71.3582657073729 -40.1616209848264,-71.3602393045541 -40.1606509367841,-71.362351548229 -40.1604044411276,-71.3619757137857 -40.1593951302647,-71.3616444792194 -40.1591258522455,-71.360935315176 -40.1588788123789,-71.3606724226265 -40.158942288685,-71.3595021028015 -40.1585012495241,-71.358726134942 -40.1579649913976,-71.3581114271029 -40.1571639321328,-71.357438463688 -40.1563204710955,-71.3565116714531 -40.1558017982012,-71.35612321115 -40.1555191407967,-71.356196729747 -40.1549074537309,-71.3561965731536 -40.154355379963,-71.3558399403046 -40.1538977333549,-71.3550685702353 -40.153492111153,-71.3542838065572 -40.1532465679896,-71.353913788931 -40.152948999329,-71.3538488675476 -40.1521657889218,-71.3534579323284 -40.1518105307255,-71.352723437054 -40.1513750858508,-71.3519929596618 -40.151055781396,-71.3511878121957 -40.1507670459787,-71.3507551641768 -40.1508484765769,-71.3507551641768 -40.1508484765769,-71.3499490227716 -40.1505306959245,-71.3492694183421 -40.1505880784563,-71.3484788888559 -40.151272427569,-71.3479068801435 -40.1517053561343,-71.3468080221924 -40.1516840589967,-71.3458779448173 -40.1516157452448)))","1",San Martín de Los Andes 1,"1"
"MULTIPOLYGON (((-71.3622922645425 -40.1603330097138,-71.3650002793013 -40.1570669411134,-71.363763256138 -40.1503365412271,-71.3641671750794 -40.1494275337656,-71.3636039941725 -40.1479280896544,-71.3625014719193 -40.1472532405914,-71.3602656944601 -40.1461075338585,-71.3591674312555 -40.1461008697268,-71.35790375887 -40.1456907712476,-71.3569667283229 -40.1454192907281,-71.3556721208967 -40.1446611168878,-71.3541761017611 -40.1446479719677,-71.3528572341055 -40.1442825255644,-71.3519700995654 -40.1443586706655,-71.350932561614 -40.1466607046999,-71.3505778323793 -40.1479028209611,-71.3489594106103 -40.1487347403497,-71.3482091486329 -40.1489388342599,-71.3458973645613 -40.1516298799699,-71.3478307001208 -40.151692373256,-71.3492504987154 -40.1505884625088,-71.3499490227716 -40.1505306959245,-71.3507168240199 -40.150834726982,-71.3512057300428 -40.1507376252451,-71.3528757979625 -40.1514010450805,-71.3537348460636 -40.1521535796028,-71.3539332106705 -40.1529631326436,-71.3543042316697 -40.1532897375225,-71.3550491481133 -40.1534779780413,-71.3557074971063 -40.1539004293552,-71.3561886971896 -40.1546751638208,-71.35612321115 -40.1555191407967,-71.3578733175703 -40.1568491604029,-71.3582324927701 -40.1573793901509,-71.3587849101499 -40.1580219067482,-71.3594254104868 -40.158473756501,-71.360423421272 -40.1588601978178,-71.3608984778575 -40.1589086205438,-71.3615882169961 -40.1591415287143,-71.3619363599705 -40.1593523485149,-71.3622922645425 -40.1603330097138)))","2",San Martín de Los Andes 2,"1"
"MULTIPOLYGON (((-70.959194515165 -39.1882180020684,-70.8629704212415 -39.1904779910535,-70.8658863028756 -39.2793132304451,-70.959194515165 -39.2770561009615,-70.959194515165 -39.1882180020684)))","10",Aluminé,"5"
"MULTIPOLYGON (((-71.0894372281524 -39.909376403302,-71.0357364080587 -39.9261492742352,-71.0857923761098 -40.0142324861491,-71.0894372281524 -39.909376403302)))","11",Junín de Los Andes,"4"
"MULTIPOLYGON (((-71.5873240171655 -41.0782962415435,-71.5817352440336 -41.0395445893553,-71.5788193623996 -41.0373452296449,-71.5746885300847 -41.0270805793283,-71.5506325066038 -41.0224976294566,-71.4923148739229 -41.0384449186862,-71.4779784558888 -41.0384449186863,-71.4517355211824 -41.0428434911284,-71.4279224878377 -41.0583735981855,-71.3827263225101 -41.0790747050407,-71.3229507490121 -41.0973888324703,-71.2821284061355 -41.1003186191413,-71.2330443986291 -41.0922613913389,-71.2080164146035 -41.0783420337691,-71.1761847067652 -41.0559916368985,-71.1599043676418 -41.0534263513578,-71.1528576536928 -41.0556251736601,-71.1200539853099 -41.0831042510479,-71.1336614329354 -41.1107091524294,-71.140222166612 -41.1198624448699,-71.1567454958716 -41.1313937760746,-71.1657361309099 -41.1388972046859,-71.1793435785354 -41.1473146638845,-71.1939229867056 -41.148961431702,-71.2119042567823 -41.1559139953981,-71.2325584183567 -41.1665243815533,-71.237175230944 -41.1641463409155,-71.2437359646206 -41.164695127184,-71.2493247377525 -41.172377652375,-71.2476238067993 -41.1754869898077,-71.248595767344 -41.1765843677828,-71.2456798857099 -41.1785961796558,-71.2464088561185 -41.1817052219172,-71.2447079251652 -41.1851798592011,-71.2792125245015 -41.1866428092182,-71.2787265442291 -41.182619618024,-71.3112872224759 -41.1818881021599,-71.3117732027483 -41.1888371729598,-71.3234367292845 -41.1884714507766,-71.3185769265611 -41.1921285806817,-71.3180909462887 -41.1950541375206,-71.3229507490121 -41.1950541375206,-71.3253806503738 -41.1976138925035,-71.3278105517355 -41.1965168669111,-71.3331563347313 -41.1965168669111,-71.33704417691 -41.1972482193489,-71.3394740782717 -41.1990765646929,-71.3409320190887 -41.2023674576078,-71.3443338809951 -41.2056581850438,-71.3555114272589 -41.1877400002817,-71.3890440660505 -41.1870085416155,-71.399735632042 -41.1990765646929,-71.4016795531313 -41.210776765468,-71.4128570993952 -41.2191849925659,-71.4128570993952 -41.2235714646103,-71.4172309218462 -41.2275921388594,-71.4201468034803 -41.2279576424412,-71.4230626851143 -41.2330744780491,-71.4313243497441 -41.2330744780491,-71.4332682708335 -41.2389217997944,-71.4420159157356 -41.2451340060042,-71.4546514028165 -41.2513456216848,-71.4706887518037 -41.2564606264728,-71.488184041608 -41.2604792778309,-71.5003335484165 -41.2334399509826,-71.4954737456931 -41.1423741122789,-71.5863520566208 -41.1398121982388,-71.5873240171655 -41.0782962415435)))","12",San Carlos de Bariloche,"2"
"MULTIPOLYGON (((-71.552333437557 -41.8882474818041,-71.488184041608 -41.8943975697152,-71.5197727593102 -41.9359855534873,-71.5105391341357 -41.9580342664899,-71.4964457062378 -41.9732109147091,-71.4949877654208 -41.9919960415048,-71.4891560021527 -42.0006642307402,-71.5805202933528 -41.999580771652,-71.570800687906 -41.9656230425101,-71.552333437557 -41.8882474818041)))","13",El Bolsón,"3"
"POLYGON ((-71.3064091705933 -40.1618620822724,-71.3389524230914 -40.1583517985515,-71.3413882829922 -40.1570531029255,-71.3505788338144 -40.1479318573516,-71.3518939271813 -40.1443456902349,-71.3404273746659 -40.1308723153868,-71.2976511355752 -40.114572489108,-71.2833099967936 -40.1098735509112,-71.2520004142259 -40.1139285342589,-71.2337255368821 -40.1174027048692,-71.2040039925106 -40.1276213384718,-71.214766929088 -40.1375317100212,-71.2203522556522 -40.1393700467236,-71.3064091705933 -40.1618620822724))","14",San Martín de Los Andes 3,"1"
